dataset,ver,kind,scope,remove_frac_hint,alpha,gamma,c0p_prune_frac,aug_ratio,aug_bound,deg_thr,seed,idx,cluster_method,log_file,test_hit3,test_hit10,end_radius,delta_radius,total_removed
Cora_ML,remove_only_intra_c0p,intra,c0p,,0.8,1.0,0.1,0.5,0.5,0.5,0,0,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_c0p_a0.80_g1.00_c0p0.10_seed0_r0.5_fmr0.5_d0.5_gmm_idx0_loss_origin.log,0.24171779141104294,0.49570552147239266,0.6044648289680481,-0.060264,29
Cora_ML,remove_only_intra_c0p,intra,c0p,,0.8,1.0,0.1,0.5,0.5,0.5,10,10,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_c0p_a0.80_g1.00_c0p0.10_seed10_r0.5_fmr0.5_d0.5_gmm_idx10_loss_origin.log,0.350920245398773,0.5607361963190184,0.5875731110572815,-0.077156,32
Cora_ML,remove_only_intra_c0p,intra,c0p,,0.8,1.0,0.1,0.5,0.5,0.5,11,11,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_c0p_a0.80_g1.00_c0p0.10_seed11_r0.5_fmr0.5_d0.5_gmm_idx11_loss_origin.log,0.22699386503067484,0.5435582822085889,0.6069865822792053,-0.057742,30
Cora_ML,remove_only_intra_c0p,intra,c0p,,0.8,1.0,0.1,0.5,0.5,0.5,12,12,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_c0p_a0.80_g1.00_c0p0.10_seed12_r0.5_fmr0.5_d0.5_gmm_idx12_loss_origin.log,0.23680981595092024,0.5349693251533743,0.5943952202796936,-0.070333,33
Cora_ML,remove_only_intra_c0p,intra,c0p,,0.8,1.0,0.1,0.5,0.5,0.5,13,13,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_c0p_a0.80_g1.00_c0p0.10_seed13_r0.5_fmr0.5_d0.5_gmm_idx13_loss_origin.log,0.23190184049079754,0.48098159509202454,0.604343056678772,-0.060386,29
Cora_ML,remove_only_intra_c0p,intra,c0p,,0.8,1.0,0.1,0.5,0.5,0.5,14,14,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_c0p_a0.80_g1.00_c0p0.10_seed14_r0.5_fmr0.5_d0.5_gmm_idx14_loss_origin.log,0.34478527607361964,0.4625766871165644,0.5971930027008057,-0.067536,30
Cora_ML,remove_only_intra_c0p,intra,c0p,,0.8,1.0,0.1,0.5,0.5,0.5,15,15,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_c0p_a0.80_g1.00_c0p0.10_seed15_r0.5_fmr0.5_d0.5_gmm_idx15_loss_origin.log,0.2920245398773006,0.5361963190184049,0.6123424172401428,-0.052386,31
Cora_ML,remove_only_intra_c0p,intra,c0p,,0.8,1.0,0.1,0.5,0.5,0.5,16,16,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_c0p_a0.80_g1.00_c0p0.10_seed16_r0.5_fmr0.5_d0.5_gmm_idx16_loss_origin.log,0.33496932515337424,0.47975460122699387,0.5967226028442383,-0.068006,30
Cora_ML,remove_only_intra_c0p,intra,c0p,,0.8,1.0,0.1,0.5,0.5,0.5,17,17,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_c0p_a0.80_g1.00_c0p0.10_seed17_r0.5_fmr0.5_d0.5_gmm_idx17_loss_origin.log,0.26993865030674846,0.49079754601226994,0.6042086482048035,-0.06052,34
Cora_ML,remove_only_intra_c0p,intra,c0p,,0.8,1.0,0.1,0.5,0.5,0.5,18,18,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_c0p_a0.80_g1.00_c0p0.10_seed18_r0.5_fmr0.5_d0.5_gmm_idx18_loss_origin.log,0.2871165644171779,0.5190184049079755,0.6043870449066162,-0.060342,32
Cora_ML,remove_only_intra_c0p,intra,c0p,,0.8,1.0,0.1,0.5,0.5,0.5,19,19,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_c0p_a0.80_g1.00_c0p0.10_seed19_r0.5_fmr0.5_d0.5_gmm_idx19_loss_origin.log,0.27975460122699386,0.4662576687116564,0.5824747681617737,-0.082254,29
Cora_ML,remove_only_intra_c0p,intra,c0p,,0.8,1.0,0.1,0.5,0.5,0.5,1,1,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_c0p_a0.80_g1.00_c0p0.10_seed1_r0.5_fmr0.5_d0.5_gmm_idx1_loss_origin.log,0.2392638036809816,0.4834355828220859,0.6054181456565857,-0.05931,28
Cora_ML,remove_only_intra_c0p,intra,c0p,,0.8,1.0,0.1,0.5,0.5,0.5,20,20,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_c0p_a0.80_g1.00_c0p0.10_seed20_r0.5_fmr0.5_d0.5_gmm_idx20_loss_origin.log,0.28957055214723926,0.48957055214723927,0.6071147322654724,-0.057614,32
Cora_ML,remove_only_intra_c0p,intra,c0p,,0.8,1.0,0.1,0.5,0.5,0.5,21,21,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_c0p_a0.80_g1.00_c0p0.10_seed21_r0.5_fmr0.5_d0.5_gmm_idx21_loss_origin.log,0.32883435582822085,0.46503067484662575,0.5859978795051575,-0.078731,33
Cora_ML,remove_only_intra_c0p,intra,c0p,,0.8,1.0,0.1,0.5,0.5,0.5,22,22,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_c0p_a0.80_g1.00_c0p0.10_seed22_r0.5_fmr0.5_d0.5_gmm_idx22_loss_origin.log,0.21717791411042944,0.50920245398773,0.5982095003128052,-0.066519,31
Cora_ML,remove_only_intra_c0p,intra,c0p,,0.8,1.0,0.1,0.5,0.5,0.5,23,23,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_c0p_a0.80_g1.00_c0p0.10_seed23_r0.5_fmr0.5_d0.5_gmm_idx23_loss_origin.log,0.24171779141104294,0.498159509202454,0.6042544841766357,-0.060474,30
Cora_ML,remove_only_intra_c0p,intra,c0p,,0.8,1.0,0.1,0.5,0.5,0.5,24,24,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_c0p_a0.80_g1.00_c0p0.10_seed24_r0.5_fmr0.5_d0.5_gmm_idx24_loss_origin.log,0.3263803680981595,0.49693251533742333,0.5957372784614563,-0.068991,31
Cora_ML,remove_only_intra_c0p,intra,c0p,,0.8,1.0,0.1,0.5,0.5,0.5,25,25,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_c0p_a0.80_g1.00_c0p0.10_seed25_r0.5_fmr0.5_d0.5_gmm_idx25_loss_origin.log,0.2907975460122699,0.4662576687116564,0.5996187329292297,-0.06511,29
Cora_ML,remove_only_intra_c0p,intra,c0p,,0.8,1.0,0.1,0.5,0.5,0.5,26,26,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_c0p_a0.80_g1.00_c0p0.10_seed26_r0.5_fmr0.5_d0.5_gmm_idx26_loss_origin.log,0.2920245398773006,0.48466257668711654,0.5928647518157959,-0.071864,32
Cora_ML,remove_only_intra_c0p,intra,c0p,,0.8,1.0,0.1,0.5,0.5,0.5,27,27,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_c0p_a0.80_g1.00_c0p0.10_seed27_r0.5_fmr0.5_d0.5_gmm_idx27_loss_origin.log,0.3128834355828221,0.4699386503067485,0.5955128073692322,-0.069216,27
Cora_ML,remove_only_intra_c0p,intra,c0p,,0.8,1.0,0.1,0.5,0.5,0.5,28,28,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_c0p_a0.80_g1.00_c0p0.10_seed28_r0.5_fmr0.5_d0.5_gmm_idx28_loss_origin.log,0.2674846625766871,0.5202453987730061,0.6013306975364685,-0.063398,31
Cora_ML,remove_only_intra_c0p,intra,c0p,,0.8,1.0,0.1,0.5,0.5,0.5,29,29,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_c0p_a0.80_g1.00_c0p0.10_seed29_r0.5_fmr0.5_d0.5_gmm_idx29_loss_origin.log,0.30920245398773005,0.505521472392638,0.5963811874389648,-0.068347,32
Cora_ML,remove_only_intra_c0p,intra,c0p,,0.8,1.0,0.1,0.5,0.5,0.5,2,2,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_c0p_a0.80_g1.00_c0p0.10_seed2_r0.5_fmr0.5_d0.5_gmm_idx2_loss_origin.log,0.3656441717791411,0.4466257668711656,0.6067249178886414,-0.058004,32
Cora_ML,remove_only_intra_c0p,intra,c0p,,0.8,1.0,0.1,0.5,0.5,0.5,3,3,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_c0p_a0.80_g1.00_c0p0.10_seed3_r0.5_fmr0.5_d0.5_gmm_idx3_loss_origin.log,0.24539877300613497,0.5447852760736196,0.5912290811538696,-0.0735,32
Cora_ML,remove_only_intra_c0p,intra,c0p,,0.8,1.0,0.1,0.5,0.5,0.5,4,4,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_c0p_a0.80_g1.00_c0p0.10_seed4_r0.5_fmr0.5_d0.5_gmm_idx4_loss_origin.log,0.3006134969325153,0.4785276073619632,0.6013715863227844,-0.063357,33
Cora_ML,remove_only_intra_c0p,intra,c0p,,0.8,1.0,0.1,0.5,0.5,0.5,5,5,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_c0p_a0.80_g1.00_c0p0.10_seed5_r0.5_fmr0.5_d0.5_gmm_idx5_loss_origin.log,0.24171779141104294,0.5349693251533743,0.6112365126609802,-0.053492,30
Cora_ML,remove_only_intra_c0p,intra,c0p,,0.8,1.0,0.1,0.5,0.5,0.5,6,6,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_c0p_a0.80_g1.00_c0p0.10_seed6_r0.5_fmr0.5_d0.5_gmm_idx6_loss_origin.log,0.2785276073619632,0.4662576687116564,0.591183602809906,-0.073545,31
Cora_ML,remove_only_intra_c0p,intra,c0p,,0.8,1.0,0.1,0.5,0.5,0.5,7,7,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_c0p_a0.80_g1.00_c0p0.10_seed7_r0.5_fmr0.5_d0.5_gmm_idx7_loss_origin.log,0.22699386503067484,0.48588957055214727,0.5924786925315857,-0.07225,30
Cora_ML,remove_only_intra_c0p,intra,c0p,,0.8,1.0,0.1,0.5,0.5,0.5,8,8,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_c0p_a0.80_g1.00_c0p0.10_seed8_r0.5_fmr0.5_d0.5_gmm_idx8_loss_origin.log,0.22699386503067484,0.4687116564417178,0.5886379480361938,-0.076091,31
Cora_ML,remove_only_intra_c0p,intra,c0p,,0.8,1.0,0.1,0.5,0.5,0.5,9,9,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_c0p_a0.80_g1.00_c0p0.10_seed9_r0.5_fmr0.5_d0.5_gmm_idx9_loss_origin.log,0.24049079754601227,0.5484662576687117,0.5997474789619446,-0.064981,26
Cora_ML,remove_only_intra_noncore,intra,noncore,,0.8,1.0,0.1,0.5,0.5,0.5,0,0,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_noncore_a0.80_g1.00_c0p0.10_seed0_r0.5_fmr0.5_d0.5_gmm_idx0_loss_origin.log,0.3693251533742331,0.49570552147239266,0.598149836063385,-0.066579,31
Cora_ML,remove_only_intra_noncore,intra,noncore,,0.8,1.0,0.1,0.5,0.5,0.5,10,10,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_noncore_a0.80_g1.00_c0p0.10_seed10_r0.5_fmr0.5_d0.5_gmm_idx10_loss_origin.log,0.2343558282208589,0.5067484662576687,0.6018972992897034,-0.062831,31
Cora_ML,remove_only_intra_noncore,intra,noncore,,0.8,1.0,0.1,0.5,0.5,0.5,11,11,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_noncore_a0.80_g1.00_c0p0.10_seed11_r0.5_fmr0.5_d0.5_gmm_idx11_loss_origin.log,0.18036809815950922,0.4834355828220859,0.6118955016136169,-0.052833,31
Cora_ML,remove_only_intra_noncore,intra,noncore,,0.8,1.0,0.1,0.5,0.5,0.5,12,12,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_noncore_a0.80_g1.00_c0p0.10_seed12_r0.5_fmr0.5_d0.5_gmm_idx12_loss_origin.log,0.2147239263803681,0.5042944785276073,0.600801944732666,-0.063927,32
Cora_ML,remove_only_intra_noncore,intra,noncore,,0.8,1.0,0.1,0.5,0.5,0.5,13,13,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_noncore_a0.80_g1.00_c0p0.10_seed13_r0.5_fmr0.5_d0.5_gmm_idx13_loss_origin.log,0.2184049079754601,0.501840490797546,0.587916910648346,-0.076812,30
Cora_ML,remove_only_intra_noncore,intra,noncore,,0.8,1.0,0.1,0.5,0.5,0.5,14,14,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_noncore_a0.80_g1.00_c0p0.10_seed14_r0.5_fmr0.5_d0.5_gmm_idx14_loss_origin.log,0.298159509202454,0.4503067484662577,0.5962814688682556,-0.068447,29
Cora_ML,remove_only_intra_noncore,intra,noncore,,0.8,1.0,0.1,0.5,0.5,0.5,15,15,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_noncore_a0.80_g1.00_c0p0.10_seed15_r0.5_fmr0.5_d0.5_gmm_idx15_loss_origin.log,0.23067484662576687,0.5128834355828221,0.6006684303283691,-0.06406,30
Cora_ML,remove_only_intra_noncore,intra,noncore,,0.8,1.0,0.1,0.5,0.5,0.5,16,16,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_noncore_a0.80_g1.00_c0p0.10_seed16_r0.5_fmr0.5_d0.5_gmm_idx16_loss_origin.log,0.3521472392638037,0.48588957055214727,0.6078835725784302,-0.056845,31
Cora_ML,remove_only_intra_noncore,intra,noncore,,0.8,1.0,0.1,0.5,0.5,0.5,17,17,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_noncore_a0.80_g1.00_c0p0.10_seed17_r0.5_fmr0.5_d0.5_gmm_idx17_loss_origin.log,0.2846625766871166,0.46503067484662575,0.5874078869819641,-0.077321,30
Cora_ML,remove_only_intra_noncore,intra,noncore,,0.8,1.0,0.1,0.5,0.5,0.5,18,18,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_noncore_a0.80_g1.00_c0p0.10_seed18_r0.5_fmr0.5_d0.5_gmm_idx18_loss_origin.log,0.2392638036809816,0.5128834355828221,0.6042546629905701,-0.060474,32
Cora_ML,remove_only_intra_noncore,intra,noncore,,0.8,1.0,0.1,0.5,0.5,0.5,19,19,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_noncore_a0.80_g1.00_c0p0.10_seed19_r0.5_fmr0.5_d0.5_gmm_idx19_loss_origin.log,0.3165644171779141,0.47484662576687114,0.604928195476532,-0.0598,31
Cora_ML,remove_only_intra_noncore,intra,noncore,,0.8,1.0,0.1,0.5,0.5,0.5,1,1,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_noncore_a0.80_g1.00_c0p0.10_seed1_r0.5_fmr0.5_d0.5_gmm_idx1_loss_origin.log,0.2625766871165644,0.5226993865030675,0.6114206314086914,-0.053308,30
Cora_ML,remove_only_intra_noncore,intra,noncore,,0.8,1.0,0.1,0.5,0.5,0.5,20,20,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_noncore_a0.80_g1.00_c0p0.10_seed20_r0.5_fmr0.5_d0.5_gmm_idx20_loss_origin.log,0.298159509202454,0.5533742331288344,0.6090068221092224,-0.055722,29
Cora_ML,remove_only_intra_noncore,intra,noncore,,0.8,1.0,0.1,0.5,0.5,0.5,21,21,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_noncore_a0.80_g1.00_c0p0.10_seed21_r0.5_fmr0.5_d0.5_gmm_idx21_loss_origin.log,0.27116564417177913,0.4834355828220859,0.5934213399887085,-0.071307,30
Cora_ML,remove_only_intra_noncore,intra,noncore,,0.8,1.0,0.1,0.5,0.5,0.5,22,22,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_noncore_a0.80_g1.00_c0p0.10_seed22_r0.5_fmr0.5_d0.5_gmm_idx22_loss_origin.log,0.36319018404907977,0.5165644171779141,0.5974293351173401,-0.067299,29
Cora_ML,remove_only_intra_noncore,intra,noncore,,0.8,1.0,0.1,0.5,0.5,0.5,23,23,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_noncore_a0.80_g1.00_c0p0.10_seed23_r0.5_fmr0.5_d0.5_gmm_idx23_loss_origin.log,0.25644171779141106,0.5435582822085889,0.6043398380279541,-0.060389,34
Cora_ML,remove_only_intra_noncore,intra,noncore,,0.8,1.0,0.1,0.5,0.5,0.5,24,24,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_noncore_a0.80_g1.00_c0p0.10_seed24_r0.5_fmr0.5_d0.5_gmm_idx24_loss_origin.log,0.3361963190184049,0.5263803680981595,0.6059861779212952,-0.058742,31
Cora_ML,remove_only_intra_noncore,intra,noncore,,0.8,1.0,0.1,0.5,0.5,0.5,25,25,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_noncore_a0.80_g1.00_c0p0.10_seed25_r0.5_fmr0.5_d0.5_gmm_idx25_loss_origin.log,0.20613496932515338,0.50920245398773,0.5997253656387329,-0.065003,30
Cora_ML,remove_only_intra_noncore,intra,noncore,,0.8,1.0,0.1,0.5,0.5,0.5,26,26,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_noncore_a0.80_g1.00_c0p0.10_seed26_r0.5_fmr0.5_d0.5_gmm_idx26_loss_origin.log,0.36319018404907977,0.5165644171779141,0.604636549949646,-0.060092,28
Cora_ML,remove_only_intra_noncore,intra,noncore,,0.8,1.0,0.1,0.5,0.5,0.5,27,27,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_noncore_a0.80_g1.00_c0p0.10_seed27_r0.5_fmr0.5_d0.5_gmm_idx27_loss_origin.log,0.2723926380368098,0.5288343558282208,0.5905016660690308,-0.074227,32
Cora_ML,remove_only_intra_noncore,intra,noncore,,0.8,1.0,0.1,0.5,0.5,0.5,28,28,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_noncore_a0.80_g1.00_c0p0.10_seed28_r0.5_fmr0.5_d0.5_gmm_idx28_loss_origin.log,0.18895705521472392,0.5337423312883436,0.5968526601791382,-0.067876,29
Cora_ML,remove_only_intra_noncore,intra,noncore,,0.8,1.0,0.1,0.5,0.5,0.5,29,29,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_noncore_a0.80_g1.00_c0p0.10_seed29_r0.5_fmr0.5_d0.5_gmm_idx29_loss_origin.log,0.21226993865030674,0.49325153374233127,0.6012932062149048,-0.063435,27
Cora_ML,remove_only_intra_noncore,intra,noncore,,0.8,1.0,0.1,0.5,0.5,0.5,2,2,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_noncore_a0.80_g1.00_c0p0.10_seed2_r0.5_fmr0.5_d0.5_gmm_idx2_loss_origin.log,0.3202453987730061,0.5165644171779141,0.5917487740516663,-0.07298,32
Cora_ML,remove_only_intra_noncore,intra,noncore,,0.8,1.0,0.1,0.5,0.5,0.5,3,3,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_noncore_a0.80_g1.00_c0p0.10_seed3_r0.5_fmr0.5_d0.5_gmm_idx3_loss_origin.log,0.3214723926380368,0.5128834355828221,0.5894989967346191,-0.07523,34
Cora_ML,remove_only_intra_noncore,intra,noncore,,0.8,1.0,0.1,0.5,0.5,0.5,4,4,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_noncore_a0.80_g1.00_c0p0.10_seed4_r0.5_fmr0.5_d0.5_gmm_idx4_loss_origin.log,0.36687116564417177,0.50920245398773,0.6079652905464172,-0.056763,31
Cora_ML,remove_only_intra_noncore,intra,noncore,,0.8,1.0,0.1,0.5,0.5,0.5,5,5,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_noncore_a0.80_g1.00_c0p0.10_seed5_r0.5_fmr0.5_d0.5_gmm_idx5_loss_origin.log,0.3030674846625767,0.4245398773006135,0.5904727578163147,-0.074256,32
Cora_ML,remove_only_intra_noncore,intra,noncore,,0.8,1.0,0.1,0.5,0.5,0.5,6,6,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_noncore_a0.80_g1.00_c0p0.10_seed6_r0.5_fmr0.5_d0.5_gmm_idx6_loss_origin.log,0.23680981595092024,0.5141104294478528,0.5952532291412354,-0.069475,31
Cora_ML,remove_only_intra_noncore,intra,noncore,,0.8,1.0,0.1,0.5,0.5,0.5,7,7,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_noncore_a0.80_g1.00_c0p0.10_seed7_r0.5_fmr0.5_d0.5_gmm_idx7_loss_origin.log,0.2748466257668712,0.48711656441717793,0.6122716665267944,-0.052457,29
Cora_ML,remove_only_intra_noncore,intra,noncore,,0.8,1.0,0.1,0.5,0.5,0.5,8,8,gmm,/home/retro/ARON/log/1117/Cora_ML_remove_only_intra_noncore_a0.80_g1.00_c0p0.10_seed8_r0.5_fmr0.5_d0.5_gmm_idx8_loss_origin.log,0.34355828220858897,0.5153374233128835,0.6045539379119873,-0.060175,29
